hand,unit,reward_count,damage_t1,damage_t2,damage_t3,damage_t4,attacks_per_second,range,special
high_card,예비군,1,12,26.4,57.6,126,1.05,6.0,기본 단일 공격
one_pair,소총병,1,20,44,96,210,1.25,6.5,체력이 낮은 적 우선
two_pair,기관총병,2,8,17.6,38.4,84,4.0,5.5,빠른 연사
three_kind,빙결술사,1,18,39.6,86.4,189,1.0,7.0,주변 55% 피해 및 50% 감속
straight,저격수,1,460,1012,2208,4830,0.364,10.0,정예병 저거너트 지휘관 피해 2배
flush,폭파병,2,40,88,192,420,0.55,8.0,반경 2.2 범위 공격
full_house,박격포,2,75,165,360,787.5,0.42,9.0,반경 2.6 범위 공격
four_kind,테슬라 기사,3,60,132,288,630,0.9,7.0,75% 55% 40% 연쇄
straight_flush,레일건,3,1500,3300,7200,15750,0.07,12.0,정예병 저거너트 지휘관 피해 2배
royal_flush,대재앙포,4,200,440,960,2100,0.38,10.5,반경 3.2 범위 공격
